Marker	Scaffold ID	Coordinate_on_scaffold	Chr	New_Chr_Coord
scaffold112_114241	scaffold112	114241	1	18444086
scaffold1491_318496	scaffold1491	318496	6	14006651
scaffold31_1800846	scaffold31	1800846	3	3929932
scaffold344_309662	scaffold344	309662	1	11008279
scaffold51_1349321	scaffold51	1349321	4	10532424
scaffold59_572553	scaffold59	572553	1	10051709
scaffold156_641874	scaffold156	641874	3	5906791
scaffold147_367986	scaffold147	367986	5	11288517
scaffold859_123972	scaffold859	123972	15	1939372
scaffold297_275113	scaffold297	275113	1	16435852
scaffold361_14957	scaffold361	14957	1	16726904
scaffold273_68457	scaffold273	68457	8	585113
