Scaffold	Refined scaffold	Scaffold start	Scaffold end	Chr	Pseudo start	Pseudo end	Scaffold Orientation
scaffold1491	scaffold1491	1	781795	6	13543352	14325146	-
scaffold43	scaffold43d	1384250	1640491	2	19783186	20039427	+
scaffold1007	scaffold1007	1	366891	7	8301142	8668032	-
scaffold223	scaffold223	1	101540	9	11412753	11514292	-
scaffold606	scaffold606	1	100447	2	13544287	13644733	+
scaffold292	scaffold292c	980346	1123019	6	2270203	2412876	+
scaffold2931	scaffold2931	1	52499	2	1375708	1428206	-
scaffold599	scaffold599	92834	143490	8	16976567	17027223	-
scaffold599	scaffold599	1	92796	8	17027224	17120019	-
scaffold1099	scaffold1099	1	165476	1	27053385	27218860	-
scaffold144	scaffold144	1	162852	1	29262518	29425369	+
scaffold205	scaffold205	1	932111	10	5053812	5985922	-
scaffold122	scaffold122	1	83448	11	3557310	3640757	+
scaffold122	scaffold122	83488	193997	11	3640758	3751267	+
scaffold353	scaffold353	1	345488	5	15304104	15649591	+
scaffold353	scaffold353	345505	934885	5	15649592	16238972	+
scaffold1100	scaffold1100	46292	81168	10	13130442	13165318	-
scaffold1100	scaffold1100	1	46267	10	13165319	13211585	-
scaffold517	scaffold517	273877	324009	7	6310586	6360718	-
scaffold517	scaffold517	1	273853	7	6360719	6634571	-
scaffold630	scaffold630	1	581564	14	5714161	6295724	+
scaffold4020	scaffold4020	1	14591	7	11262483	11277073	+
scaffold66	scaffold66	1	669347	5	4105047	4774393	+
scaffold66	scaffold66	669449	1631870	5	4774394	5736815	+
scaffold82	scaffold82	1	1329641	10	10635303	11964943	+
scaffold2796	scaffold2796	1	94159	4	8591696	8685854	-
scaffold1536	scaffold1536a	1	29940	4	17133720	17163659	+
scaffold713	scaffold713	1	23234	14	3863308	3886541	+
scaffold315	scaffold315	1	184180	8	1576272	1760451	+
scaffold315	scaffold315	184202	640451	8	1760452	2216701	+
scaffold190	scaffold190	1	125066	15	4439583	4564648	-
scaffold481	scaffold481	1	54870	3	23690643	23745512	+
scaffold481	scaffold481	54913	104862	3	23745513	23795462	+
scaffold203	scaffold203	1	157529	1	13441528	13599056	+
scaffold618	scaffold618	1	548627	6	12948961	13497587	-
scaffold252	scaffold252	1	80849	12	7389249	7470097	-
scaffold1686	scaffold1686	1	340176	1	3808076	4148251	+
scaffold275	scaffold275	231332	553867	2	2956639	3279174	-
scaffold275	scaffold275	1	231290	2	3279175	3510464	-
scaffold185	scaffold185a	466856	708492	11	12655040	12896676	-
scaffold185	scaffold185a	101354	466804	11	12896677	13262127	-
scaffold185	scaffold185a	16933	101296	11	13262128	13346491	-
scaffold185	scaffold185a	1	16862	11	13346492	13363353	-
scaffold373	scaffold373a	1	187610	2	22706912	22894521	+
scaffold3030	scaffold3030	1	47396	8	17291481	17338876	+
scaffold688	scaffold688	1	54354	9	13368555	13422908	+
scaffold2593	scaffold2593	1	200596	9	5110989	5311584	-
scaffold177	scaffold177	672327	933955	8	4482100	4743728	-
scaffold177	scaffold177	592897	672282	8	4743729	4823114	-
scaffold177	scaffold177	1	592854	8	4823115	5415968	-
scaffold185	scaffold185b	708493	757186	9	11303089	11351782	+
scaffold185	scaffold185b	757227	768329	9	11351783	11362885	+
scaffold261	scaffold261	1	948721	9	5494318	6443038	+
scaffold261	scaffold261	948962	1280428	9	6443039	6774505	+
scaffold37	scaffold37b	1901469	1992804	7	8031252	8122587	-
scaffold1247	scaffold1247a	1	270108	8	3761850	4031957	+
scaffold1247	scaffold1247a	270150	481959	8	4031958	4243767	+
scaffold1247	scaffold1247a	481982	528571	8	4243768	4290357	+
scaffold302	scaffold302	1	299031	5	13665049	13964079	+
scaffold14	scaffold14	1	455429	15	5007367	5462795	+
scaffold14	scaffold14	455452	567897	15	5462796	5575241	+
scaffold14	scaffold14	567915	678591	15	5575242	5685918	+
scaffold361	scaffold361	1	207258	1	16711948	16919205	+
scaffold361	scaffold361	207300	434011	1	16919206	17145917	+
scaffold361	scaffold361	434040	604929	1	17145918	17316807	+
scaffold361	scaffold361	604960	1062530	1	17316808	17774378	+
scaffold189	scaffold189	1	453290	7	12390900	12844189	-
scaffold706	scaffold706	1	179684	13	1484984	1664667	+
scaffold196	scaffold196b	479746	1514003	3	24463810	25498067	-
scaffold196	scaffold196b	50341	479691	3	25498068	25927418	-
scaffold196	scaffold196b	50296	50295	3	25927419	25927418	-
scaffold418	scaffold418a	1	185886	5	1798134	1984019	+
scaffold1317	scaffold1317	1	316415	15	15113446	15429860	-
scaffold643	scaffold643	1	64884	7	10498453	10563336	-
scaffold1253	scaffold1253b	565816	659267	7	1978375	2071826	+
scaffold372	scaffold372	1	336475	2	22907395	23243869	+
scaffold372	scaffold372	336494	508572	2	23243870	23415948	+
scaffold446	scaffold446	1	100054	3	15123120	15223173	-
scaffold2114	scaffold2114	1	106374	9	6838869	6945242	-
scaffold225	scaffold225	1	263964	8	15567110	15831073	+
scaffold225	scaffold225	264022	351842	8	15831074	15918894	+
scaffold225	scaffold225	351860	856056	8	15918895	16423091	+
scaffold296	scaffold296b	355054	418560	8	9131244	9194750	+
scaffold1186	scaffold1186a	1	238584	7	2300038	2538621	+
scaffold1186	scaffold1186a	238613	416536	7	2538622	2716545	+
scaffold24	scaffold24	1	248836	2	260204	509039	-
scaffold1775	scaffold1775	1	55359	8	14720719	14776077	-
scaffold156	scaffold156a	1	381796	3	5264959	5646754	+
scaffold156	scaffold156a	381838	772550	3	5646755	6037467	+
scaffold156	scaffold156a	772567	1143106	3	6037468	6408007	+
scaffold156	scaffold156a	1143123	2059217	3	6408008	7324102	+
scaffold15	scaffold15b	544995	1235635	5	16252034	16942674	+
scaffold841	scaffold841	1	107934	7	7856006	7963939	+
scaffold398	scaffold398	1	560626	1	22505435	23066060	-
scaffold1630	scaffold1630	185801	389151	15	13163698	13367048	-
scaffold1630	scaffold1630	1	185778	15	13367049	13552826	-
scaffold5413	scaffold5413	1	1272	4	18667627	18668898	+
scaffold1519	scaffold1519b	192578	304202	9	948148	1059772	+
scaffold433	scaffold433	1	229284	2	10454734	10684017	+
scaffold359	scaffold359b	452481	500316	3	25928419	25976254	+
scaffold413	scaffold413a	447272	793382	5	14505664	14851774	-
scaffold413	scaffold413a	1	447253	5	14851775	15299027	-
scaffold3345	scaffold3345	1	86544	12	2436927	2523470	-
scaffold380	scaffold380	1	1049573	13	8023671	9073243	+
scaffold1037	scaffold1037a	1	208700	14	8812360	9021059	-
scaffold815	scaffold815	1	64559	3	22339608	22404166	+
scaffold160	scaffold160	1	268996	6	7616075	7885070	+
scaffold345	scaffold345	1	279311	13	1	279311	+
scaffold206	scaffold206	444334	485626	15	3524514	3565806	-
scaffold206	scaffold206	226581	444287	15	3565807	3783513	-
scaffold206	scaffold206	33469	226554	15	3783514	3976599	-
scaffold206	scaffold206	1	33437	15	3976600	4010036	-
scaffold263	scaffold263	1	115376	8	18942231	19057606	+
scaffold167	scaffold167b	124416	484486	11	11456440	11816510	+
scaffold314	scaffold314	290548	430750	4	6571053	6711255	-
scaffold314	scaffold314	1	290446	4	6711256	7001701	-
scaffold86	scaffold86a	532315	1131948	7	3936204	4535837	-
scaffold86	scaffold86a	1	532289	7	4535838	5068126	-
scaffold105	scaffold105	153175	296809	4	10156162	10299796	-
scaffold105	scaffold105	82070	153157	4	10299797	10370884	-
scaffold105	scaffold105	1	81972	4	10370885	10452856	-
scaffold3059	scaffold3059	1	7015	3	26394747	26401761	+
scaffold3059	scaffold3059	7066	74247	3	26401762	26468943	+
scaffold3059	scaffold3059	74289	135868	3	26468944	26530523	+
scaffold488	scaffold488c	1344200	1454161	5	5772472	5882433	+
scaffold368	scaffold368a	1	123265	9	8223343	8346607	+
scaffold257	scaffold257a	1	251650	11	16631489	16883138	-
scaffold543	scaffold543	62937	158936	2	3601294	3697293	-
scaffold543	scaffold543	1	62899	2	3697294	3760192	-
scaffold475	scaffold475a	1	877347	15	13577107	14454453	-
scaffold151	scaffold151b	435783	1655654	7	5089714	6309585	+
scaffold2325	scaffold2325	1	36376	4	19842452	19878827	+
