Trait	QTL	Chr	Coord_start	Coord_end	chr	ID	start	end	strand	functional annotation	scaffold 	refined scaffold	arabidopsis gene	gene names	dummy
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018097	18332046	18334006	+	Lipase class 3-related protein	scaffold112	scaffold112	AT5G24230.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018098	18338780	18340866	+	GRAS family transcription factor family protein	scaffold112	scaffold112	AT2G01570.1	RGA,RGA1	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018099	18362462	18364039	-	GRAS family transcription factor family protein	scaffold112	scaffold112	AT2G01570.1	RGA,RGA1	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018100	18395486	18397366	-	GRAS family transcription factor family protein	scaffold112	scaffold112	AT2G01570.1	RGA,RGA1	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018101	18399363	18400709	-	GRAS family transcription factor family protein	scaffold112	scaffold112	AT2G01570.1	RGA,RGA1	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018102	18406876	18410238	+	Glycosyl hydrolase family protein	scaffold112	scaffold112	AT5G20950.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018103	18414081	18417409	+	Plant invertase/pectin methylesterase inhibitor superfamily	scaffold112	scaffold112	AT3G49220.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018104	18418099	18420349	-	Phosphatidylinositol 3- and 4-kinase ;Ubiquitin family protein	scaffold112	scaffold112	AT5G24240.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018105	18423874	18424212	-	inhibitor-3	scaffold112	scaffold112	AT2G31305.1	INH3	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018106	18427772	18430057	-	F-box family protein	scaffold112	scaffold112	AT3G06240.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018107	18438203	18441946	-	prolyl oligopeptidase family protein	scaffold112	scaffold112	AT5G24260.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018108	18444357	18445905	-	Calcium-binding EF-hand family protein	scaffold112	scaffold112	AT5G24270.1	ATSOS3,CBL4,SOS3	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018109	18462772	18464688	+	Pentatricopeptide repeat (PPR) superfamily protein	scaffold112	scaffold112	AT3G49240.1	emb1796	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018110	18465608	18467524	-	Protein with RING/U-box and TRAF-like domains	scaffold112	scaffold112	AT4G27880.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018111	18475901	18478730	+		scaffold112	scaffold112	AT2G41150.2		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018112	18481214	18483686	+	dual specificity protein phosphatase-related	scaffold112	scaffold112	AT4G18593.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018113	18488285	18490873	-	Tetratricopeptide repeat (TPR)-like superfamily protein	scaffold112	scaffold112	AT5G01110.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018115	18506695	18509951	+	IQ-domain 21	scaffold112	scaffold112	AT3G49260.3	iqd21	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018116	18511482	18516217	+	Glycogen/starch synthases, ADP-glucose type	scaffold112	scaffold112	AT5G24300.1	ATSS1,SSI,SSI1	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018117	18537461	18540314	+	Ribonuclease P protein subunit P38-related	scaffold112	scaffold112	AT5G53020.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018119	18548254	18549867	+	FAD-binding Berberine family protein	scaffold112	scaffold112	AT2G34790.1	EDA28,MEE23	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018120	18564294	18569758	+	P-loop containing nucleoside triphosphate hydrolases superfamily protein	scaffold112	scaffold112	AT3G45850.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018121	18574961	18578879	-		scaffold112	scaffold112	AT3G45830.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018122	18585682	18592151	-	phototropin 1	scaffold112	scaffold112	AT3G45780.1	JK224,NPH1,PHOT1,RPT1	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018123	18599476	18601238	+	Protein of unknown function (DUF604)	scaffold112	scaffold112	AT5G41460.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018124	18614981	18618931	+	related to AP2.7	scaffold112	scaffold112	AT2G28550.3	RAP2.7,TOE1	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018125	18621289	18625955	-	RNA binding (RRM/RBD/RNP motifs) family protein	scaffold112	scaffold112	AT3G45630.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018126	18636810	18641520	-	RNA binding (RRM/RBD/RNP motifs) family protein	scaffold112	scaffold112	AT3G45630.1		1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018127	18648825	18650440	-	mitogen-activated protein kinase 3	scaffold112	scaffold112	AT3G45640.1	ATMAPK3,ATMPK3,MPK3	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018128	18657611	18660101	+	arogenate dehydratase 2	scaffold112	scaffold112	AT3G07630.1	ADT2	1
PM	QPM-crc-LG1 	1	16920407	18739647	1	Lus10018129	18666819	18672877	+	vacuolar proton ATPase A1	scaffold112	scaffold112	AT2G28520.1	VHA-A1	1
