chr	ID	start	end	strand	RGA type	scaffold 	refined scaffold
9	Lus10011658	14912729	14914372	-	TM-CC	scaffold10	scaffold10
12	Lus10006971	2697465	2700985	+	TM-CC	scaffold1004	scaffold1004
7	Lus10009500	8537151	8537855	-	TX	scaffold1007	scaffold1007
3	Lus10012628	20893692	20896059	+	RLK	scaffold101	scaffold101
1	Lus10018824	27858914	27866661	-	TM-CC	scaffold103	scaffold103
1	Lus10018855	28039176	28040480	+	RLK	scaffold103	scaffold103
1	Lus10018860	28052429	28053610	+	RLK	scaffold103	scaffold103
1	Lus10018861	28054331	28056175	+	RLK	scaffold103	scaffold103
1	Lus10018902	28244654	28249741	+	TM-CC	scaffold103	scaffold103
1	Lus10018904	28258222	28263580	+	TM-CC	scaffold103	scaffold103
1	Lus10018911	28301588	28305403	+	RLK	scaffold103	scaffold103
1	Lus10018913	28308139	28310947	+	RLK	scaffold103	scaffold103
1	Lus10018937	28438416	28441289	+	NL	scaffold103	scaffold103
8	Lus10010987	18110468	18111222	+	TX	scaffold1035	scaffold1035
8	Lus10010992	18086260	18088674	+	RLK	scaffold1035	scaffold1035
8	Lus10011004	18039903	18041849	-	TM-CC	scaffold1035	scaffold1035
8	Lus10011039	17846243	17852504	+	RLP	scaffold1035	scaffold1035
8	Lus10011064	17714229	17720524	-	RLP	scaffold1035	scaffold1035
14	Lus10011267	9008175	9009185	+	RLP	scaffold1037	scaffold1037a
14	Lus10011278	8869189	8872476	+	NL	scaffold1037	scaffold1037a
7	Lus10011288	2922798	2925256	+	TM-CC	scaffold1037	scaffold1037b
7	Lus10011302	2838905	2841730	-	RLK	scaffold1037	scaffold1037b
1	Lus10005205	13005366	13008536	+	TM-CC	scaffold104	scaffold104
4	Lus10007254	10362804	10379750	-	TM-CC	scaffold105	scaffold105
4	Lus10007261	10275199	10279119	-	CNL	scaffold105	scaffold105
8	Lus10002117	3027624	3029991	-	RLP	scaffold1052	scaffold1052
14	Lus10002945	83415	86255	+	CNL	scaffold1060	scaffold1060
8	Lus10003387	5947161	5950349	+	RLP	scaffold1068	scaffold1068
8	Lus10003389	5960820	5964024	-	RLP	scaffold1068	scaffold1068
2	Lus10014496	22696879	22698411	+	TM-CC	scaffold107	scaffold107
2	Lus10014498	22689807	22692067	+	TM-CC	scaffold107	scaffold107
2	Lus10014525	22568249	22570799	-	RLK	scaffold107	scaffold107
2	Lus10014582	22303408	22305003	-	TN	scaffold107	scaffold107
2	Lus10014583	22303042	22303380	-	NBS	scaffold107	scaffold107
8	Lus10006323	19194516	19196147	-	TM-CC	scaffold1072	scaffold1072
10	Lus10000934	17964839	17967780	-	NBS	scaffold1098	scaffold1098
1	Lus10003612	27144226	27147986	+	RLK	scaffold1099	scaffold1099
1	Lus10003624	27080008	27081438	-	RLP	scaffold1099	scaffold1099
7	Lus10003315	10643115	10653852	-	TM-CC	scaffold1105	scaffold1105
15	Lus10002147	15563555	15565551	-	RLK	scaffold1106	scaffold1106
15	Lus10002149	15552167	15555691	+	TM-CC	scaffold1106	scaffold1106
1	Lus10018191	18981564	18983689	+	RLP	scaffold112	scaffold112
14	Lus10003337	4660550	4665302	-	TM-CC	scaffold1120	scaffold1120
6	Lus10021275	16109248	16112188	+	RLK	scaffold1123	scaffold1123a
6	Lus10021329	16372117	16380367	-	TM-CC	scaffold1123	scaffold1123a
8	Lus10021383	2232102	2234180	+	RLK	scaffold1123	scaffold1123b
9	Lus10004333	1422722	1425075	-	RLK	scaffold1134	scaffold1134
3	Lus10006215	3197176	3199063	+	RLK	scaffold1140	scaffold1140
1	Lus10027831	4746656	4748620	-	TM-CC	scaffold1143	scaffold1143a
12	Lus10027856	16421267	16424870	+	RLP	scaffold1143	scaffold1143b
12	Lus10027920	16726425	16728091	-	TX	scaffold1143	scaffold1143b
15	Lus10004032	7700122	7703267	-	RLK	scaffold1155	scaffold1155
2	Lus10017911	9407371	9409696	-	RLK	scaffold116	scaffold116
11	Lus10013729	2430179	2432516	+	TN	scaffold1168	scaffold1168
6	Lus10017178	11360563	11363531	-	RLK	scaffold117	scaffold117
6	Lus10017247	11700195	11703311	+	RLK	scaffold117	scaffold117
6	Lus10017251	11717720	11720876	-	RLK	scaffold117	scaffold117
6	Lus10017267	11795893	11798921	-	RLK	scaffold117	scaffold117
3	Lus10004583	7536941	7541815	-	TM-CC	scaffold1170	scaffold1170
7	Lus10012101	2327027	2329588	+	RLK	scaffold1186	scaffold1186a
7	Lus10012159	2527732	2533122	-	RLK	scaffold1186	scaffold1186a
7	Lus10012193	2695771	2698659	+	RLK	scaffold1186	scaffold1186a
10	Lus10039917	8283425	8286669	-	TM-CC	scaffold12	scaffold12
10	Lus10039958	8700849	8705057	+	RLP	scaffold12	scaffold12
10	Lus10039980	9056226	9059874	+	TM-CC	scaffold12	scaffold12
10	Lus10040021	9648862	9653572	-	RLK	scaffold12	scaffold12
10	Lus10040071	10289862	10292208	-	RLK	scaffold12	scaffold12
2	Lus10002328	2809629	2811958	+	RLK	scaffold120	scaffold120
1	Lus10006544	25923915	25928882	-	RLK	scaffold1202	scaffold1202
15	Lus10007600	3312	11232	+	RLK	scaffold121	scaffold121
15	Lus10007601	11369	14331	-	RLK	scaffold121	scaffold121
15	Lus10007602	17583	23564	+	RLK	scaffold121	scaffold121
15	Lus10007603	23942	27614	-	RLK	scaffold121	scaffold121
15	Lus10007604	29008	31923	+	RLK	scaffold121	scaffold121
15	Lus10007608	43694	46128	+	RLK	scaffold121	scaffold121
15	Lus10007610	47907	50779	-	RLK	scaffold121	scaffold121
15	Lus10007611	51620	55118	+	RLK	scaffold121	scaffold121
15	Lus10007631	134861	137811	-	RLK	scaffold121	scaffold121
15	Lus10007632	138808	141347	-	RLK	scaffold121	scaffold121
15	Lus10007633	144985	147520	-	RLK	scaffold121	scaffold121
15	Lus10007634	148939	151622	-	RLK	scaffold121	scaffold121
15	Lus10007635	152797	159648	-	RLK	scaffold121	scaffold121
7	Lus10023437	3725947	3732607	+	TM-CC	scaffold1216	scaffold1216
7	Lus10023487	3467614	3471603	+	TNL	scaffold1216	scaffold1216
7	Lus10023500	3408291	3410881	+	RLK	scaffold1216	scaffold1216
7	Lus10023570	3054515	3057868	-	RLK	scaffold1216	scaffold1216
7	Lus10023574	3037499	3039505	-	RLK	scaffold1216	scaffold1216
1	Lus10001851	13144795	13147818	-	RLK	scaffold1218	scaffold1218
11	Lus10004257	3688434	3692689	+	TNL	scaffold122	scaffold122
11	Lus10004266	3736385	3739592	+	RLK	scaffold122	scaffold122
11	Lus10041937	2733473	2738407	+	RLK	scaffold123	scaffold123a
11	Lus10041951	2781192	2782964	+	TM-CC	scaffold123	scaffold123a
11	Lus10041953	2787436	2789283	+	RLK	scaffold123	scaffold123a
11	Lus10042020	3057004	3059686	+	TX	scaffold123	scaffold123a
11	Lus10042097	3372874	3374229	+	TM-CC	scaffold123	scaffold123a
14	Lus10042117	16021041	16024166	-	CNL	scaffold123	scaffold123b
14	Lus10042135	15951067	15953760	+	RLK	scaffold123	scaffold123b
14	Lus10042165	15801453	15805418	-	NL	scaffold123	scaffold123b
14	Lus10042177	15743365	15746718	-	RLK	scaffold123	scaffold123b
11	Lus10042193	3826788	3831912	-	TM-CC	scaffold123	scaffold123c
1	Lus10042239	3754336	3757608	+	RLP	scaffold123	scaffold123d
1	Lus10042266	3666686	3669046	+	RLK	scaffold123	scaffold123d
1	Lus10042324	3417936	3423798	-	RLK	scaffold123	scaffold123d
1	Lus10042327	3402145	3407015	+	RLK	scaffold123	scaffold123d
1	Lus10042381	3190470	3194122	+	RLP	scaffold123	scaffold123d
1	Lus10042397	3132145	3134488	+	TM-CC	scaffold123	scaffold123d
1	Lus10042505	2655715	2663241	+	RLK	scaffold123	scaffold123d
9	Lus10001788	21363745	21367733	+	TX	scaffold1230	scaffold1230
8	Lus10014019	3785074	3791522	+	RLK	scaffold1247	scaffold1247a
8	Lus10014037	3864491	3866518	-	RLK	scaffold1247	scaffold1247a
8	Lus10014048	3935213	3939723	-	TM-CC	scaffold1247	scaffold1247a
8	Lus10014071	4017593	4020906	-	RLK	scaffold1247	scaffold1247a
8	Lus10014098	4160674	4164174	-	RLK	scaffold1247	scaffold1247a
13	Lus10009330	4886276	4888681	+	RLP	scaffold1249	scaffold1249
9	Lus10017478	2046907	2049680	+	RLK	scaffold1253	scaffold1253a
9	Lus10017519	2268399	2268956	+	TM-CC	scaffold1253	scaffold1253a
9	Lus10017548	2448488	2456558	-	TM-CC	scaffold1253	scaffold1253a
10	Lus10001060	2856236	2860497	+	TM-CC	scaffold1286	scaffold1286
4	Lus10008739	5753090	5756605	-	TM-CC	scaffold13	scaffold13
4	Lus10008743	5742404	5744388	+	RLK	scaffold13	scaffold13
4	Lus10008751	5692872	5695212	+	TM-CC	scaffold13	scaffold13
5	Lus10018512	17091823	17095442	-	RLK	scaffold1308	scaffold1308
5	Lus10018516	17115000	17120876	+	RLK	scaffold1308	scaffold1308
5	Lus10018562	17302788	17305237	-	TM-CC	scaffold1308	scaffold1308
5	Lus10018602	17495926	17498912	-	RLK	scaffold1308	scaffold1308
5	Lus10018616	17541181	17546335	+	TNL	scaffold1308	scaffold1308
5	Lus10018636	17641763	17644901	+	RLK	scaffold1308	scaffold1308
1	Lus10005103	6000467	6003296	+	RLK	scaffold1311	scaffold1311
2	Lus10012852	24379554	24380659	+	TX	scaffold1313	scaffold1313
2	Lus10012877	24261497	24264627	-	RLK	scaffold1313	scaffold1313
15	Lus10007919	15131378	15133659	-	RLK	scaffold1317	scaffold1317
1	Lus10027951	25567157	25570258	-	RLK	scaffold132	scaffold132a
1	Lus10027970	25474526	25476343	+	RLK	scaffold132	scaffold132a
1	Lus10027971	25471719	25473623	-	RLK	scaffold132	scaffold132a
